,city,complaint_type,location_type
0,RIDGEWOOD,Noise - Commercial,Store/Commercial
1,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
2,BROOKLYN,Noise - Commercial,Store/Commercial
3,RIDGEWOOD,Noise - Commercial,Store/Commercial
4,EAST ELMHURST,Blocked Driveway,Street/Sidewalk
5,NEW YORK,Drinking Water,1-3 Family Dwelling
7,BROOKLYN,Blocked Driveway,Street/Sidewalk
8,NEW YORK,Rodent,3+ Family Apt. Building
9,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
10,BROOKLYN,Noise - Street/Sidewalk,Street/Sidewalk
12,BROOKLYN,Illegal Parking,Street/Sidewalk
13,BRONX,Noise - Commercial,Club/Bar/Restaurant
14,NEW YORK,Noise - Vehicle,Street/Sidewalk
16,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
17,BROOKLYN,Noise - Commercial,Store/Commercial
18,HOLLIS,Illegal Parking,Street/Sidewalk
19,NEW YORK,Noise - Commercial,Store/Commercial
20,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
21,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
22,NEW YORK,Noise - Street/Sidewalk,Street/Sidewalk
23,BROOKLYN,Illegal Parking,Street/Sidewalk
24,STATEN ISLAND,Illegal Parking,Street/Sidewalk
25,BROOKLYN,Illegal Parking,Street/Sidewalk
26,BROOKLYN,Noise - Commercial,Store/Commercial
27,BROOKLYN,Blocked Driveway,Street/Sidewalk
29,BRONX,Blocked Driveway,Street/Sidewalk
30,BROOKLYN,Illegal Parking,Street/Sidewalk
31,LONG ISLAND CITY,Noise - Commercial,Club/Bar/Restaurant
32,BROOKLYN,Noise - Vehicle,Street/Sidewalk
33,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
35,HOWARD BEACH,Illegal Parking,Street/Sidewalk
36,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
37,BROOKLYN,Illegal Parking,Street/Sidewalk
38,BROOKLYN,Noise - Commercial,Club/Bar/Restaurant
39,FOREST HILLS,Blocked Driveway,Street/Sidewalk
40,BROOKLYN,Blocked Driveway,Street/Sidewalk
43,NEW YORK,Noise - Commercial,Club/Bar/Restaurant
