School Name,Street Address,City,Coordinates
Henry Street School for International Studies,220 Henry Street,New York,"(40.7135296, -73.9856844)"
University Neighborhood High School,200 Monroe Street,New York,"(40.7122569, -73.9840313)"
East Side Community School,420 East 12 Street,New York,"(40.729311, -73.9825827)"
Marta Valle High School,145 Stanton Street,New York,"(40.7202883, -73.9860794)"
New Explorations into Science Technology and Math High School,111 Columbia Street,New York,"(40.7195002, -73.9792392)"
Bard High School Early College,525 East Houston Street,New York,"(40.7180919, -73.97607459999999)"
47  American Sign Language and English Secondary School,223 East 23 Street,New York,"(40.738454, -73.98166069999999)"
Food and Finance High School,525 West 50Th Street,New York,"(40.7655356, -73.9931625)"
Essex Street Academy,350 Grand Street,New York,"(40.717321, -73.989323)"
High School of Hospitality Management,525 West 50Th Street,New York,"(40.7655356, -73.9931625)"
Pace High School,100 Hester Street,New York,"(40.71651, -73.9936997)"
Urban Assembly School of Design and Construction ,525 West 50Th Street,New York,"(40.7655356, -73.9931625)"
Facing History School ,525 West 50Th Street,New York,"(40.7655356, -73.9931625)"
Urban Assembly Academy of Government and Law ,350 Grand Street,New York,"(40.717321, -73.989323)"
Lower Manhattan Arts Academy,350 Grand Street,New York,"(40.717321, -73.989323)"
Urban Assembly School of Business for Young Women ,26 Broadway,New York,"(40.7054423, -74.01288819999999)"
Gramercy Arts High School,40 Irving Place,New York,"(40.7354677, -73.987393)"
NYC iSchool,131 Avenue Of The Americas,New York,"(40.7244683, -74.00494599999999)"
MANHATTAN BUSINESS ACADEMY,351 West 18 Street,New York,"(40.743248, -74.00269500000002)"
BUSINESS OF SPORTS SCHOOL,439 West 49Th Street,New York,"(40.76399929999999, -73.9908346)"
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40 Irving Place,New York,"(40.7354677, -73.987393)"
High School for Environmental Studies,444 West 56 Street,New York,"(40.7679079, -73.9884009)"
Institute for Collaborative Education,345 East 15Th Street,New York,"(40.7325413, -73.9828422)"
Professional Performing Arts High School,328 West 48 Street,New York,"(40.7615351, -73.9886547)"
Baruch College Campus High School,55 East 25 Street,New York,"(40.7418485, -73.98590899999999)"
N.Y.C. Lab School for Collaborative Studies,333 West 17 Street,New York,"(40.7425117, -74.00273349999999)"
School of  Future High School,127 East 22 Street,New York,"(40.7390867, -73.9853658)"
N.Y.C. Museum School,333 West 17 Street,New York,"(40.7425117, -74.00273349999999)"
Eleanor Roosevelt High School,411 East 76 Street,New York,"(40.770282, -73.953267)"
Millennium High School,75 Broad Street,New York,"(40.7046172, -74.01123249999999)"
Landmark High School,351 West 18 Street,New York,"(40.743248, -74.00269500000002)"
High School for Health Professions and Human Services,345 East 15Th Street,New York,"(40.7325413, -73.9828422)"
Quest to Learn,351 West 18 Street,New York,"(40.743248, -74.00269500000002)"
Leadership and Public Service High School,90 Trinity Place,New York,"(40.70902419999999, -74.0123569)"
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,111 East 33Rd Street,New York,"(40.7464334, -73.9810279)"
Murray Hill Academy,111 East 33Rd Street,New York,"(40.7464334, -73.9810279)"
Hudson High School of Learning Technologies,351 West 18 Street,New York,"(40.743248, -74.00269500000002)"
International High School at Union Square,40 Irving Place,New York,"(40.7354677, -73.987393)"
Manhattan Village Academy,43 West 22 Street,New York,"(40.7419716, -73.99223769999999)"
Vanguard High School,317 East 67 Street,New York,"(40.7653683, -73.9596962)"
Manhattan International High School,317 East 67 Street,New York,"(40.7653683, -73.9596962)"
Stuyvesant High School,345 Chambers Street,New York,"(40.7180139, -74.0138939)"
High School of Economics and Finance,100 Trinity Place,New York,"(40.709254, -74.0121884)"
Unity Center for Urban Technologies,111 East 33Rd Street,New York,"(40.7464334, -73.9810279)"
Urban Assembly Gateway School for Technology,439 West 49Th Street,New York,"(40.76399929999999, -73.9908346)"
Talent Unlimited High School,317 East 67 Street,New York,"(40.7653683, -73.9596962)"
Murry Bergtraum High School for Business Careers,411 Pearl Street,New York,"(40.7110316, -74.0013216)"
Jacqueline Kennedy Onassis High School,120 West 46 Street,New York,"(40.7577223, -73.9833542)"
Repertory Company High School for atre Arts,123 West 43 Street,New York,"(40.7561154, -73.9844504)"
Union Square Academy for Health Sciences,40 Irving Place,New York,"(40.7354677, -73.987393)"
Harvest Collegiate High School,34 West 14 Street,New York,"(40.7365859, -73.9954734)"
Manhattan Bridges High School,525 West 50Th Street,New York,"(40.7655356, -73.9931625)"
New Design High School,350 Grand Street,New York,"(40.717321, -73.989323)"
High School for Dual Language and Asian Studies,350 Grand Street,New York,"(40.717321, -73.989323)"
Academy for Software Engineering,40 Irving Place,New York,"(40.7354677, -73.987393)"
Urban Assembly New York Harbor School,550 Wheeler Avenue,Manhattan,"(40.6911098, -74.0193321)"
Richard R. Green High School of Teaching,26 Broadway,New York,"(40.7054423, -74.01288819999999)"
 High School of Fashion Industries,225 West 24 Street,New York,"(40.7455962, -73.9964634)"
Humanities Preparatory Academy,351 West 18 Street,New York,"(40.743248, -74.00269500000002)"
Chelsea Career and Technical Education High School,131 Avenue Of The Americas,New York,"(40.7244683, -74.00494599999999)"
Art and Design High School,231-249 East 56 Street,New York,"(40.7588375, -73.9662492)"
Life Sciences Secondary School,320 East 96 Street,New York,"(40.7833777, -73.94593940000001)"
High School for Arts Imagination and Inquiry,122 Amsterdam Avenue,New York,"(40.7747793, -73.98472000000001)"
Urban Assembly School for Media Studies ,122 Amsterdam Avenue,New York,"(40.7747793, -73.98472000000001)"
 Urban Assembly School for Green Careers,145 West 84 Street,New York,"(40.785992, -73.9743724)"
