QuantitySold,PricePercent,StartingBidPercent,SellerClosePercent,AvgPrice,AuctionCount,AuctionSaleCount,SellerAuctionCount,AuctionMedianPrice
1,1.4787,0.0537,0.925925926,18.4273,583,291,54,12.26
1,1.4422,0.335,0.990566038,29.815,120,43,106,24.45
1,0.5969,0.5426,0.422131148,18.4273,583,291,244,12.26
0,0.5426,0.5426,0.245098039,18.4273,583,291,102,12.26
0,1.9159,1.9159,0.29535865,5.2142,137,44,237,3.02
1,0.8372,0.0251,0.664516129,39.4247,47,23,155,41
0,2.7128,2.7128,0.044444444,18.4273,583,291,90,12.26
0,0.8644,0.8644,0.267605634,2.302,61,13,71,2.25
0,1.998,1.998,0.038315256,5,13,1,7099,5
1,3.483,3.483,0.333333333,51.6793,1586,447,3,36
0,0.4846,0.4846,0.242105263,16.485,32,11,570,9.99
1,1.2409,0.0191,0.905845835,51.5669,172,46,1933,23.725
0,2.7128,2.7128,0.2,18.4273,583,291,15,12.26
0,0.5527,0.5527,0.157894737,32.5466,30,3,19,24.99
1,0.7589,0.601,0.553381459,1.647,75,10,5264,1.8
0,1.0588,1.0588,0.3,4.7126,593,190,10,2.82
1,0.4374,0.0113,0.625,86.8692,607,252,8,74.49
0,0.4027,0.4027,0.041237113,86.8692,607,252,97,74.49
0,0.6791,0.6791,0.5,86.8692,607,252,2,74.49
1,1.0474,0.115,0.885057471,86.8692,607,252,1740,74.49
0,0.6777,0.6777,0.571428571,18.4273,583,291,140,12.26
0,2.0068,2.0068,0.125,18.93,117,19,64,19.15
0,1.5286,1.5286,0.12,51.6793,1586,447,25,36
1,0.8174,0.115,0.885057471,86.8692,607,252,1740,74.49
0,0.606,0.606,0.242105263,16.485,32,11,570,9.99
1,1,1,0.235211268,0.99,3,1,3550,0.99
0,0.6791,0.6791,0.227272727,86.8692,607,252,22,74.49
1,0.21,0.21,0.578431373,4.7126,593,190,306,2.82
1,0.6546,0.6546,0.237037037,15.2603,125,52,135,8.49
0,3.7608,3.7608,0.363636364,53.1767,133,38,44,29.885
